link	mun	region	lon	lat	ekatte	settlement_type	name	type	name_tr	mun_tr	region_tr
https://www.ekatte.com/област-враца/община-мездра/злидол	Мездра	Враца	23.517503	43.080259	31190	с	Злидол		zlidol	mezdra	vratsa
https://www.ekatte.com/област-варна/община-провадия/блъсково	Провадия	Варна	27.329365	43.121492	4457	с	Блъсково		blskovo	provadija	varna
https://www.ekatte.com/област-търговище/община-търговище/момино	Търговище	Търговище	26.478481	43.265882	48920	с	Момино		momino	trgovische	trgovische
https://www.ekatte.com/област-кърджали/община-кирково/кукуряк	Кирково	Кърджали	25.478296	41.33295	40511	с	Кукуряк		kukurjak	kirkovo	krdzhali
https://www.ekatte.com/област-пазарджик/община-ракитово/ракитово	Ракитово	Пазарджик	24.087484	41.989488	62004	гр	Ракитово	gr	rakitovo	rakitovo	pazardzhik
https://www.ekatte.com/област-габрово/община-габрово/брънеците	Габрово	Габрово	25.360291	42.901661	6642	с	Брънеците		brnetsite	gabrovo	gabrovo
https://www.ekatte.com/област-търговище/община-омуртаг/росица	Омуртаг	Търговище	26.292759	43.140484	63104	с	Росица		rositsa	omurtag	trgovische
https://www.ekatte.com/област-търговище/община-търговище/братово	Търговище	Търговище	26.410864	43.179437	6166	с	Братово		bratovo	trgovische	trgovische
https://www.ekatte.com/област-монтана/община-берковица/слатина	Берковица	Монтана	23.221393	43.216365	67221	с	Слатина		slatina	berkovitsa	montana
https://www.ekatte.com/област-велико-търново/община-елена/цвеклювци	Елена	Велико Търново	25.803822	42.873723	78269	с	Цвеклювци		tsvekljuvtsi	elena	veliko-trnovo
https://www.ekatte.com/област-разград/община-кубрат/юпер	Кубрат	Разград	26.39651	43.911248	86091	с	Юпер		juper	kubrat	razgrad
https://www.ekatte.com/област-добрич/община-генерал-тошево/дъбовик	Генерал Тошево	Добрич	27.957774	43.687604	24339	с	Дъбовик		dbovik	general-toshevo	dobrich
https://www.ekatte.com/област-силистра/община-ситово/поляна	Ситово	Силистра	26.981579	44.060417	57385	с	Поляна		poljana	sitovo	silistra
https://www.ekatte.com/област-разград/община-разград/разград	Разград	Разград	26.541116	43.533672	61710	гр	Разград	gr	razgrad	razgrad	razgrad
